Date,Station,HeatIndex,Time
"April 11, 2024","Camuning, Calabanga",43.6,1:06 PM
"April 11, 2024","Liboton, Naga City",42.8,2:28 PM
"April 11, 2024","Mabolo, Naga City",42.1,12:25 PM
"April 11, 2024","San Felipe, Naga City",41.7,2:54 PM
"April 11, 2024","Concepcion Grande, Naga City",41.6,1:37 PM
"April 11, 2024","Concepcion Pequeña, Naga City",41.6,2:50 PM
"April 11, 2024","Bogtong, Legazpi City",40.4,1:13 PM
"April 11, 2024","Guinlajon, Sorsogon City",39.7,11:21 PM
"April 11, 2024","Nato, Sagñay",39.6,1:52 PM
"April 11, 2024","Cavinitan, Virac",38.1,2:56 PM
"April 12, 2024","Sorsogon City, Sorsogon",41.3,1:11 PM
"April 12, 2024","Mabolo, Naga City",40.6,10:52 AM
"April 12, 2024","Calabanga, Camarines Sur",40.4,11:01 AM
"April 12, 2024","Basud, Camarines Norte",40.2,11:59 AM
"April 12, 2024","Liboton, Naga City",39.7,10:07 AM
"April 12, 2024","Sagñay, Camarines Sur",39.2,1:04 PM
"April 12, 2024","San Felipe, Naga City",39.1,11:11 AM
"April 12, 2024","Concepcion Pequeña, Naga City",38.9,10:32 AM
"April 12, 2024","Legazpi City, Albay",38.7,2:36 PM
"April 12, 2024","Concepcion Grande, Naga City",38.4,10:25 AM
"April 12, 2024","Virac, Catanduanes",38,3:09 PM
"April 13, 2024","Liboton, Naga City",44.3,3:09 PM
"April 13, 2024","Calabanga, Camarines Sur",43.2,1:42 PM
"April 13, 2024","Concepcion Grande, Naga City",43.1,2:20 PM
"April 13, 2024","Mabolo, Naga City",42.8,2:11 PM
"April 13, 2024","Concepcion Pequeña, Naga City",42.2,2:14 PM
"April 13, 2024","San Felipe, Naga City",42.2,3:14 PM
"April 13, 2024","Basud, Camarines Norte",40.7,12:49 PM
"April 13, 2024","Sorsogon City, Sorsogon",40.2,1:51 PM
"April 13, 2024","Legazpi City, Albay",40.2,2:11 PM
"April 13, 2024","Sagñay, Camarines Sur",40,2:34 PM
"April 13, 2024","Virac, Catanduanes",39.3,11:09 AM
"April 14, 2024","Liboton, Naga City",44.7,2:19 PM
"April 14, 2024","Calabanga, Camarines Sur",44.3,2:09 PM
"April 14, 2024","Mabolo, Naga City",43.6,9:42 AM
"April 14, 2024","San Felipe, Naga City",43.5,12:50 PM
"April 14, 2024","Concepcion Pequeña, Naga City",43.3,2:16 PM
"April 14, 2024","Concepcion Grande, Naga City",42.4,3:33 PM
"April 14, 2024","Sorsogon City, Sorsogon",42.4,11:32 AM
"April 14, 2024","Basud, Camarines Norte",42.2,11:44 AM
"April 14, 2024","Sagñay, Camarines Sur",41.6,12:31 PM
"April 14, 2024","Legazpi City, Albay",41.3,11:36 AM
"April 14, 2024","Virac, Catanduanes",39.2,1:25 PM
"April 15, 2024","Liboton, Naga City",44.9,11:51 AM
"April 15, 2024","Mabolo, Naga City",44.7,12:24 PM
"April 15, 2024","Calabanga, Camarines Sur",44.3,3:20 PM
"April 15, 2024","Concepcion Pequeña, Naga City",43.7,11:44 AM
"April 15, 2024","San Felipe, Naga City",43.6,2:12 PM
"April 15, 2024","Concepcion Grande, Naga City",43.3,12:50 PM
"April 15, 2024","Sorsogon City, Sorsogon",42.5,12:19 PM
"April 15, 2024","Sagñay, Camarines Sur",41.3,12:54 PM
"April 15, 2024","Legazpi City, Albay",41.2,2:09 PM
"April 15, 2024","Virac, Catanduanes",40.1,2:39 PM
"April 15, 2024","Basud, Camarines Norte",,
"April 16, 2024","Calabanga, Camarines Sur",44.9,1:43 PM
"April 16, 2024","Liboton, Naga City",44.6,1:35 PM
"April 16, 2024","Mabolo, Naga City",43.9,1:53 PM
"April 16, 2024","San Felipe, Naga City",43.6,1:52 PM
"April 16, 2024","Concepcion Pequeña, Naga City",42.3,3:21 PM
"April 16, 2024","Concepcion Grande, Naga City",42.2,1:56 PM
"April 16, 2024","Legazpi City, Albay",41.6,12:44 PM
"April 16, 2024","Sagñay, Camarines Sur",41,2:29 PM
"April 16, 2024","Sorsogon City, Sorsogon",40.8,1:50 PM
"April 16, 2024","Virac, Catanduanes",39.2,10:32 AM
"April 16, 2024","Basud, Camarines Norte",,
"April 17, 2024","Liboton, Naga City",43.1,12:52 PM
"April 17, 2024","Calabanga, Camarines Sur",42.4,1:06 PM
"April 17, 2024","Mabolo, Naga City",42.1,11:56 AM
"April 17, 2024","San Felipe, Naga City",41.2,11:25 AM
"April 17, 2024","Concepcion Pequeña, Naga City",41.2,12:50 PM
"April 17, 2024","Sorsogon City, Sorsogon",40.7,11:17 AM
"April 17, 2024","Concepcion Grande, Naga City",40.4,1:33 PM
"April 17, 2024","Legazpi City, Albay",39.9,12:14 PM
"April 17, 2024","Virac, Catanduanes",38.6,10:51 AM
"April 18, 2024","Calabanga, Camarines Sur",47.1,3:18 PM
"April 18, 2024","Liboton, Naga City",46.8,2:37 PM
"April 18, 2024","San Felipe, Naga City",44.9,2:28 PM
"April 18, 2024","Concepcion Pequeña, Naga City",44.9,3:33 PM
"April 18, 2024","Mabolo, Naga City",44.7,3:02 PM
"April 18, 2024","Concepcion Grande, Naga City",43.8,2:54 PM
"April 18, 2024","Sorsogon City, Sorsogon",42.8,11:36 AM
"April 18, 2024","Legazpi City, Albay",41.5,1:19 PM
"April 18, 2024","Sagñay, Camarines Sur",41.2,2:17 PM
"April 18, 2024","Virac, Catanduanes",39.4,12:26 PM
"April 19, 2024","Liboton, Naga City",45.7,1:14 PM
"April 19, 2024","Calabanga, Camarines Sur",45.3,12:28 PM
"April 19, 2024","Mabolo, Naga City",44.3,1:04 PM
